Milestone,Workstream,Title,Description,Priority,Estimate,Labels,Status
FinHive M1b · MVP1 Parity — Read then Write,testing,Add query result shape contract tests,"For every raw SQL query, add a test asserting the returned column set and types match the corresponding Pydantic model. This replaces the type safety an ORM would have provided. Acceptance: changing a column type in a migration without updating the model fails CI.",1,5,"product:finhive,testing,database",Backlog
FinHive M1b · MVP1 Parity — Read then Write,testing,Add N+1 query detection tests,Every list endpoint gets a test asserting an exact query count. Prevents the classic N+1 regression that raw SQL makes easy to introduce. Acceptance: adding a per-row lookup inside a loop fails the count assertion.,2,3,"product:finhive,testing,performance,database",Backlog
FinHive M1b · MVP1 Parity — Read then Write,testing,Set up Playwright e2e suite,"Configure Playwright to run against the Vercel preview deployment rather than a local server, so tests exercise the real edge and CDN behaviour. Acceptance: the suite runs in CI against the PR preview URL and blocks merge on failure.",1,5,"product:finhive,testing,e2e,ci",Backlog
FinHive M1b · MVP1 Parity — Read then Write,testing,Write core e2e user journeys,"Cover the critical paths: sign up and log in, create a loan via the form, filter and sort the loans table, ask the agent a read-only question, request a mutation and approve it as owner, and confirm a bookkeeper cannot approve. Acceptance: all journeys pass against the preview deployment.",1,8,"product:finhive,testing,e2e",Backlog
FinHive M1b · MVP1 Parity — Read then Write,testing,MVP1 parity e2e sweep against the web app,"Run the e2e-testing skill's Persona A continuity sweep against the milestone-one web app: roughly 80 checks over entry, view, status engine, reference IDs, calculator, approvals, import/export, infrastructure behaviour and the deliberate UI/UX decisions. Any red in the calculation checks (A5) or the infrastructure checks (A8) blocks the milestone. This is the gate that proves the rewrite lost nothing, and it is the reason the MVP1 user can trust the web app enough to validate business on it. Acceptance: the sweep report shows PARITY HELD with no unexplained degradations.",1,8,"product:finhive,testing,e2e,mvp1,business-continuity",Backlog
FinHive M2 · Agent Read-Only,ops,Add Vercel cron warming for hot bundles,Add a Vercel Cron job pinging the agent and loans function bundles every five minutes during business hours to mitigate the 3 to 5 second Python cold start. At 3 DAU most requests would otherwise be cold. Acceptance: p95 latency during business hours drops measurably on the API Health dashboard.,2,2,"product:finhive,performance,infra",Backlog
FinHive M2 · Agent Read-Only,ci-cd,Add eslint rule forbidding gated components in agent-rendered subtrees,"Write a local eslint rule that fails CI when a component declared gated appears in the JSX of a component declared rendered. If DecisionBar could render inside TraceStep, the agent would control the pixels of its own approval control — the UI-layer equivalent of letting it write to the database. This is the rule that stops an innocent approve-from-chat ticket from shipping. Acceptance: a PR placing DecisionBar inside TraceStep is blocked with a named reason.",1,5,"product:finhive,frontend,ci,security,architecture",Backlog
FinHive M2 · Agent Read-Only,security,Build PII masking pipeline,"Implement session-scoped bidirectional PII substitution: borrower_name, depositor_name, and account_number are replaced with stable tokens before any LLM call and rehydrated in the response. Tokens must be stable within a session so the agent can reason across turns. Amounts, dates, reference IDs, and statuses are never masked. Acceptance: no plaintext personal name appears in any outbound LLM payload, verified by a test that inspects the serialised request.",1,8,"product:finhive,ai,security,privacy",Backlog
FinHive M2 · Agent Read-Only,security,Add a maskable-field classification test,"Under ARB decision OQ-01, PII masking is the control that keeps personal data inside India, so a new field carrying a name or identifier that is added without masking is a cross-border disclosure. Add a test that enumerates every string field on every model and fails unless each is explicitly classified as maskable or non-maskable. This makes the omission impossible rather than unlikely. Acceptance: adding an unclassified string field to a model fails CI with a message naming the field.",1,5,"product:finhive,security,privacy,testing,residency",Backlog
FinHive M2 · Agent Read-Only,security,Tokenise amounts before LLM egress,"ADR-2.4 decision 12 (APPROVED). Extend the session-scoped tokeniser from names to financial values: an amount becomes AMOUNT_1, rehydrated on the way out, exactly as PERSON_1 already works. Tokens are stable within a session so the agent can refer back across turns. This keeps the at-rest and in-transit postures consistent — encrypting a value in the database and then posting it to a US inference provider is a posture that would otherwise need explaining. Acceptance: no raw financial figure appears in any outbound LLM payload, verified by inspecting the serialised request, and the rendered answer shows real amounts.",1,5,"product:finhive,security,privacy,ai,encryption",Backlog
FinHive M2 · Agent Read-Only,backend,Implement agent suggestions endpoint,"GET /api/agent/suggestions returns surface-scoped prompt chips (id, label, prompt) powering AgentTeaser on the dashboard and the empty state on /chat. The agent must say what it can do before the user has to guess. Acceptance: dashboard and chat render suggestions and clicking one sends that prompt.",2,3,"product:finhive,backend,frontend,ai",Backlog
FinHive M2 · Agent Read-Only,frontend,Build agent chat UI,"Create the chat route rendering the streamed ReAct trace: thoughts, tool calls with arguments, observations, and the final answer. Showing the reasoning is the trust mechanism, not a loading state. Include a per-turn thumbs up and down control. Acceptance: a user can watch each reasoning step appear and submit feedback on any turn.",1,8,"product:finhive,frontend,ai",Backlog
FinHive M2 · Agent Read-Only,frontend,Build component registry with agent-class declarations,"Create components/registry.ts declaring an agent class for every component: rendered, authored, drivable, gated or blind (ARD v2.1.0 section 4). Each class carries a rule — rendered treats all content as untrusted and never uses dangerouslySetInnerHTML; authored renders only from server-provided structured data; drivable must behave identically whether a change came from a form or a turn; gated must be authorized server-side independent of its own render; blind must not import from finhive/agent. Acceptance: every component in the 31-item inventory has a declared class.",1,5,"product:finhive,frontend,architecture,security",Backlog
FinHive M2 · Agent Read-Only,frontend,Build step-cap degraded answer treatment,"When MAX_STEPS is exhausted, return a partial answer plus two concrete rewrites of the question. Never a timeout error. The final event carries truncated true and reason step_cap so the client can distinguish this from a normal completion without string-matching. Acceptance: a deliberately unanswerable question degrades gracefully with actionable suggestions.",1,5,"product:finhive,frontend,ai,ux",Backlog
FinHive M2 · Agent Read-Only,frontend,Build cost budget soft-block treatment,"On a 429 with code budget_soft_block, the composer goes read-only stating the remaining budget and resets_at, and offers a form-based path to the same task. The owner is notified rather than the user silently blocked. A cost cap that only says no makes the product feel broken; routing to the same outcome without the model is the difference between a limit and a wall. Acceptance: exceeding the daily cap shows the state and the form path completes the task.",1,5,"product:finhive,frontend,ai,cost,ux",Backlog
FinHive M2 · Agent Read-Only,frontend,Build RetryNotice in the ReAct trace,"When a tool call fails Pydantic validation, surface a collapsed line inside the trace such as corrected due_date — was next quarter. Shown, not hidden. Two attempts then degrade. Variants: attempt 1, attempt 2, degraded. Acceptance: a deliberately malformed tool argument produces a visible retry line and the loop recovers.",2,5,"product:finhive,frontend,ai",Backlog
FinHive M2 · Agent Read-Only,agent,Set up LiteLLM gateway with Groq,"Configure LiteLLM as the LLM abstraction layer pointing at Groq. Centralise model selection, retry policy, and timeout configuration so the provider stays swappable. Acceptance: a completion round-trips through LiteLLM and usage data is returned in normalised form.",1,3,"product:finhive,ai,backend",Backlog
FinHive M2 · Agent Read-Only,agent,Build typed tool registry,"Implement the @tool decorator and registry: each tool declares a Pydantic args model, a mutating flag, and a required_role. Generate the JSON schema handed to Groq from the Pydantic models so schema and implementation cannot drift. Acceptance: registering a tool automatically exposes a correct JSON schema and role gate.",1,5,"product:finhive,ai,backend,architecture",Backlog
FinHive M2 · Agent Read-Only,agent,Implement read-only agent tools,"Build get_current_context, resolve_entity, query_loans, get_portfolio_summary, and calculate_interest. All are non-mutating and execute immediately. resolve_entity is RAG-backed for fuzzy name resolution. Acceptance: each tool returns correctly shaped output and respects RLS for the calling user.",1,8,"product:finhive,ai,backend",Backlog
FinHive M2 · Agent Read-Only,agent,Implement the ReAct loop,"Build the core reason-act-observe loop with MAX_STEPS of 6, Pydantic validation of every tool call before dispatch, and a maximum of 2 retries per step on validation failure with the error fed back as an observation. On step exhaustion return partial results with a refinement prompt, never a timeout error. Acceptance: the loop resolves the canonical quarterly query in 4 steps and degrades gracefully when capped.",1,13,"product:finhive,ai,backend,architecture",Backlog
FinHive M2 · Agent Read-Only,agent,Implement SSE streaming for agent responses,"Stream thought, action, observation, proposal, and final events over Server-Sent Events. Set X-Accel-Buffering no and Cache-Control no-transform to prevent CDN buffering. Acceptance: the first event reaches the browser within one second and each ReAct step renders as it completes.",1,8,"product:finhive,ai,backend,frontend",Backlog
FinHive M2 · Agent Read-Only,agent,Implement viewer read-only agent access,"ARB decision OQ-03 grants the viewer role agent access restricted to the 7 read-only tools; mutating tools stay bookkeeper and above. The Composer stays present for viewers — the restriction is enforced by required_role on the @tool decorator, server-side, not by hiding the input. Because a viewer's tool set is a strict subset, the role becomes a natural test fixture: any turn producing a proposal under a viewer JWT is an unsafe-call failure with an unambiguous cause. Acceptance: a viewer can ask what is overdue and receive an answer, and no viewer turn can ever emit a proposal event.",1,3,"product:finhive,ai,security,auth",Backlog
FinHive M2 · Agent Read-Only,agent,Implement search_help agent tool with MDX RAG,"Add a read-only tool doing retrieval over the /help MDX content so the agent answers questions about the product's own rules from versioned docs rather than from the model's memory of them. This closes the loop where hallucination is most likely. Required role viewer, non-mutating. Acceptance: asking how extend works returns an answer grounded in the MDX with a citation.",1,5,"product:finhive,ai,backend,rag",Backlog
FinHive M2 · Agent Read-Only,agent,Make chat empty results name the applied filter,"When an agent query returns zero rows, the answer must state which filter produced nothing rather than implying no such records exist. If the agent filtered on sharma_traders and found nothing, saying no loans found is a lie by omission — and it is the failure mode that destroys trust in an agent fastest. Acceptance: a zero-row agent answer names the filter and offers to broaden it.",1,3,"product:finhive,ai,ux",Backlog
FinHive M2 · Agent Read-Only,agent,Create pgvector schema and business rule embeddings,"Migration 0005: add the schema_embeddings table with pgvector. Embed the loan schema, field semantics, and MVP1 business rules (giving_date is never used in calculations, the interest formulas, the status transition rules) for intent routing and grounding. Acceptance: resolve_entity and schema questions retrieve relevant context with usable similarity scores.",2,8,"product:finhive,ai,database,rag",Backlog
FinHive M2 · Agent Read-Only,agent,Implement LLM budget guardrails,"Add spend caps: 8000 prompt tokens per turn (truncate RAG context and warn), 0.50 USD per user per day (soft block and notify), and 10 USD per org per month (hard block and page). Acceptance: exceeding each threshold triggers the specified behaviour and emits a metric.",2,5,"product:finhive,ai,cost,observability",Backlog
FinHive M2 · Agent Read-Only,agent,Implement list_reports agent tool,"Add a read-only tool exposing report status so the agent can answer questions like whether last month's report went through. Required role viewer, non-mutating. Acceptance: the tool returns report summaries respecting RLS for the calling user and appears in the registry as READ.",2,3,"product:finhive,ai,backend",Backlog
FinHive M2 · Agent Read-Only,agent,"Tools compute, the agent narrates — no LLM arithmetic","ADR-2.4 decision 12. With amounts tokenised, the agent cannot and must not perform arithmetic on financial values. Move all computation server-side: get_portfolio_summary decrypts and sums with Decimal returning a token; query_loans sorts and ranks server-side returning rows already ordered; calculate_interest uses the MVP1 calculator. The agent narrates results it did not compute. This is a correctness improvement as much as a compliance one — LLMs are unreliable at arithmetic and this application is about money. Known cost: any question needing magnitude reasoning the tools did not pre-compute becomes unanswerable until a tool is added, and this will surface as eval failures that look like capability gaps rather than bugs. Acceptance: no tool returns a raw figure for the model to operate on, and an eval case asking which borrower owes the most is answered from server-side ranking.",1,8,"product:finhive,ai,agent,security",Backlog
FinHive M2 · Agent Read-Only,testing,Build agent evaluation harness,"Create the golden dataset format and runner: YAML cases specifying input, expected tool sequence, expected arguments, must_not_call assertions, required answer content, and max steps. Report tool-selection accuracy, argument accuracy, task completion, unsafe-call rate, p95 latency, and cost per task. Acceptance: the harness runs locally and in CI and produces a scored report.",1,8,"product:finhive,ai,testing,evals",Backlog
FinHive M2 · Agent Read-Only,testing,Seed golden eval dataset with canonical queries,"Author the initial eval cases covering the three canonical user journeys: querying quarterly dues by group, creating a loan conversationally, and batch-extending overdue loans. Include negative cases asserting that read-only questions never invoke mutating tools. Acceptance: at least 20 cases covering all nine tools.",1,5,"product:finhive,ai,testing,evals",Backlog
FinHive M2 · Agent Read-Only,testing,Add SSE streaming e2e assertion,Add a Playwright test asserting the first SSE event arrives within one second of sending a chat message. This is the guard against a future CDN or header configuration change silently breaking streaming and destroying the core UX. Acceptance: removing the X-Accel-Buffering header fails this test.,1,3,"product:finhive,testing,e2e,ai",Backlog
FinHive M2 · Agent Read-Only,testing,Add Playwright assertion for the agent-class invariant,"With a pending proposal open in /chat, assert that elements carrying data-agent-class=gated have count zero inside the react-trace container. This is the runtime counterpart to the eslint rule and catches dynamic composition the static rule cannot see. Acceptance: the assertion fails if a gated control is rendered into the trace at runtime.",1,3,"product:finhive,testing,e2e,security",Backlog
FinHive M2 · Agent Read-Only,observability,Implement per-turn token and cost metering,"Capture prompt_tokens, completion_tokens, cost_usd via litellm.completion_cost, model, per-step and total latency_ms, and the full react_trace JSONB into agent_turns on every turn. This table is the substrate for observability, cost tracking, and the eval dataset. Acceptance: every agent turn produces a complete, queryable metrics row.",1,5,"product:finhive,ai,observability,cost",Backlog
FinHive M2 · Agent Read-Only,docs,Document the deliberate tool exclusions,"Add explicit NOT A TOOL comments in finhive/agent/registry.py for approve_batch, revert_batch and export_report, each with its reason. approve_batch: the agent must never operate its own gate. revert_batch: a hallucinated revert silently undoes a decision a human made deliberately, with no second human in the loop — strictly worse than a hallucinated proposal. export_report: writes a file to Blob and costs money per call, so a looping agent could fill the store. The absence of a tool is invisible; the reason for its absence should not be. Acceptance: the comments exist and are referenced from the ARD.",1,1,"product:finhive,ai,docs,security",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",ops,Pin Vercel functions to the bom1 region,"ARB decision OQ-01 puts primary data in ap-south-1 (Mumbai). Serverless functions default to iad1 (Washington), which would add roughly 200-250ms round trip to EVERY database query — a request making four queries pays a second of latency before doing any work, and at 3 DAU most requests are already cold. Set regions to bom1 in vercel.json. Do this in Phase 1, before anyone measures performance and wrongly concludes the raw-SQL layer is slow. Acceptance: deployed functions report bom1 and p95 query latency is single-digit ms to the database.",1,2,"product:finhive,infra,performance,residency",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",ops,Add a region mismatch startup assertion,Log the function region and the database region together at startup and fail loudly on a mismatch. A silent region drift is invisible until someone investigates a latency chart weeks later. Acceptance: a deliberately mismatched configuration is caught at boot with a clear message naming both regions.,2,2,"product:finhive,infra,observability,residency",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",data,Provision Supabase projects in ap-south-1,"Create finhive-prod and finhive-staging Supabase projects in the ap-south-1 (Mumbai) region per ARB decision OQ-01 — SMB users are in India and primary data resides there. Configure connection pooling and store credentials in GitHub Secrets and Vercel environment variables. Acceptance: both projects report region ap-south-1, are reachable from CI, and the anon and service_role keys are stored as secrets, never committed.",1,2,"product:finhive,database,infra,foundation,residency",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",data,Build data migration script from SQLite to Supabase,"Write migrate_to_supabase.py: export from the MVP1 SQLite database, assign org_id, insert into Postgres, then verify row counts and per-record checksums before committing. Abort and leave SQLite untouched on any mismatch. Acceptance: migration is idempotent, verified, and a deliberately corrupted source aborts cleanly.",2,5,"product:finhive,migration,database",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",data,Configure Vercel Blob for report PDFs and imports,"Wire Vercel Blob for report PDF storage and CSV/XLSX upload. Use signed direct uploads from the browser to bypass the serverless request body size limit. Acceptance: a report PDF is generated, stored, and retrievable via a signed URL, and a 5MB XLSX uploads successfully.",2,5,"product:finhive,backend,infra,storage",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",data,Encrypt cold archive partitions in Blob,"ADR-2.4 plus ARB decision OQ-02. The 7-year cold archive holds proposed_mutations and agent_turns snapshots, which contain NPI. Compressed JSONL partitions written to Blob must be encrypted at rest with the same key hierarchy, and the restore procedure must decrypt and verify. An archive is the longest-lived copy of this data, so it cannot be the weakest protected. Acceptance: an archived partition is unreadable without the key and the quarterly restore test decrypts and reconciles row-level equality.",1,5,"product:finhive,data,security,retention,encryption",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",security,Implement Row Level Security policies,"Migration 0003: enable RLS on all tenant tables. Add tenant isolation policies keyed on the org_id JWT claim, and a role-gated policy allowing only owner to update reports to approved status. Acceptance: policies are active on every business table and a direct query without a JWT claim returns zero rows.",1,5,"product:finhive,database,security,auth",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",security,Restrict service_role key to a single guarded module,"The Supabase service_role key bypasses RLS entirely. Confine it to finhive/db/admin.py, guarded by an environment variable that is absent from every serverless bundle except api/admin. Add a ruff rule banning imports of the service-role client anywhere else. Acceptance: importing the admin client from any other module fails lint.",1,3,"product:finhive,security,database",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",backend,Implement transactional proposal application,"Build the approval handler: on approve, apply every after_state in the batch inside a single Postgres transaction so partial application is impossible. Retain before_state to make any batch reversible. Acceptance: a deliberately failing mid-batch mutation rolls back the entire batch.",1,5,"product:finhive,backend,database,security",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",backend,Implement approval revert endpoint,"Add POST /api/approvals/{batch_id}/revert taking a reason and inverting from the retained before_state inside one transaction. ARD section 12 promised reversibility, but without a route that promise resolves to someone writing SQL against production, which is not a control. This is deliberately NOT an agent tool. Acceptance: an applied batch reverts cleanly, the receipt shows the reverting transaction id, and no agent tool can reach this route.",1,5,"product:finhive,backend,api,security",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",frontend,Implement OriginBadge provenance marking,"OriginBadge renders AGENT (amber) or FORM (blue) wherever a change is shown: chat proposal cards, the dashboard approval feed and the approvals batch header. Amber means one thing everywhere — a model originated this — and is never reused for anything else. Provenance is not status. Acceptance: every proposal surface carries the badge and a reviewer can tell origin at a glance.",1,3,"product:finhive,frontend,ai,ux",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",frontend,Build RLS-denied treatment on approvals,"When a non-owner opens a pending batch, the diff stays fully visible and DecisionBar is replaced by an explanation plus a request-approval action. The button is absent, not disabled with a tooltip. The 403 carries code rls_denied and required_role so the client renders the right message without parsing prose. Acceptance: a bookkeeper sees the full diff, no approve control, and a working request-approval action.",1,5,"product:finhive,frontend,security,ux",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",frontend,Build the component inventory with all variants,"Implement the 31 components from ARD v2.1.0 section 6 with every declared variant. Variants are the contract: a component without its states designed is one that will be improvised under deadline. Includes Button, StatusChip, OriginBadge, FilterChip, KpiCard, DataTable, TableRow, Input/DateField, SegmentedControl, Drawer, Dialog, Toast, Pagination and the agent components. Acceptance: every variant renders in isolation and is visually reviewable.",1,13,"product:finhive,frontend,design-system",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",frontend,Build skeleton states matching real row geometry,"Skeleton variants (text, row, card, trace) must match the geometry of the real content so nothing shifts when data lands. At 3 DAU most requests are cold, so the loading state is the common case, not an edge case. Never a centred spinner. Acceptance: a layout-shift assertion shows no CLS when data replaces a skeleton.",1,5,"product:finhive,frontend,performance,ux",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",frontend,Build EmptyState variants that name the cause,"EmptyState has no-data, no-results, no-permission and error variants. The no-results variant restates the filter that produced nothing and offers to clear it. A zero-row answer must never read as none exist. Acceptance: filtering to zero rows shows the applied filter and a working clear action.",1,5,"product:finhive,frontend,ux",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",agent,Implement mutating agent tools as proposals,"Build create_loan, update_loan, extend_loan, and generate_report. These must never execute directly. The dispatcher writes a proposed_mutations row with full before_state and after_state JSONB snapshots. Acceptance: invoking any mutating tool produces a proposal row and leaves the loans table untouched.",1,8,"product:finhive,ai,backend,security",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",testing,Write RLS cross-tenant isolation test,"Create the single most important security test in the repo: seed two orgs, authenticate as a user in Org A, and assert that every read and write path returns zero rows or a permission error for Org B's data. Must run against a real ephemeral Supabase branch, never a mock. Acceptance: the test fails if RLS is disabled on any table.",1,5,"product:finhive,security,testing,ci",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",testing,Gate CI on agent eval thresholds,"Enforce eval gates in CI: tool-selection accuracy at least 90 percent, argument accuracy at least 85 percent, task completion at least 85 percent, p95 latency at most 4 seconds, cost per task at most 0.001 USD, and unsafe-call rate exactly 0 percent as a hard release blocker. Run the full suite nightly and a fast subset per PR. Acceptance: a regression that causes one unrequested mutation proposal fails the build.",1,5,"product:finhive,ai,ci,evals,security",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",testing,Test DiffRow type-mismatch variant,"before_state and after_state are JSONB, so the schema can drift between when a proposal is written and when it is approved. The design treats this as a rendered state rather than a crash. Write the test that forces a type mismatch between snapshots and assert the row renders its type-mismatch variant with both values legible. Acceptance: a proposal whose target schema changed after creation renders safely and does not block the rest of the batch.",1,3,"product:finhive,testing,frontend,security",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",testing,Add agent-class test plan coverage,The agent-class taxonomy generates the test plan. Agent-rendered components need prompt and markup injection tests. Agent-authored need server-truth tests proving they never render agent prose. Agent-gated need server-side authorization tests. Agent-blind need an assertion that they do not import from finhive/agent. Acceptance: each of the five classes has at least one test enforcing its rule.,1,5,"product:finhive,testing,security,architecture",Backlog
"FinHive M3 · Agent Write, UI Polish & Hosted Infra",testing,Build feedback-to-eval pipeline,"Wire the thumbs-down loop: capture the react_trace, provide a triage workflow classifying the failure as prompt, tool, or data, and add the case to the golden dataset as a permanent regression test. Acceptance: a thumbs-down turn can be converted into an eval case in one step and the nightly suite proves the fix holds.",2,5,"product:finhive,ai,evals,feedback",Backlog
FinHive M4 · Multi-User Distribution,ops,Production deployment to Vercel,"Deploy to production on Vercel with functions pinned to bom1 and the Supabase ap-south-1 project, environment separation for production, staging and per-PR previews, and secrets in Vercel environment variables rather than the repo. Acceptance: production is reachable over HTTPS, reports its region, and a PR preview deploys against an ephemeral database branch.",1,5,"product:finhive,ops,infra,deployment",Backlog
FinHive M4 · Multi-User Distribution,security,Implement log scrubbing before Grafana export,"Grafana Cloud processes outside India. Under ARB decision OQ-01 a correlation ID in a log line is fine but a borrower name is a cross-border transfer of personal data. Add a scrubbing filter over the OTLP log exporter covering every field classified as maskable, and a test asserting no personal identifier reaches the exporter. Acceptance: a log line containing a borrower name is scrubbed before export and the test fails if the filter is bypassed.",1,5,"product:finhive,observability,security,privacy,residency",Backlog
FinHive M4 · Multi-User Distribution,auth,Public signup and multi-user authentication,"Replace the M1 service-account shortcut with the real signup flow: email and password signup, verification, password reset, and non-enumerating failures on duplicate email and wrong password. Acceptance: a new user signs up unaided and the e2e Persona B signup and session checks pass.",1,8,"product:finhive,auth,frontend,backend",Backlog
FinHive M4 · Multi-User Distribution,auth,Role assignment and invitation flow,"Let an owner invite a user into their org and assign bookkeeper or viewer. Role restrictions are already enforced server-side by RLS and the tool registry's required_role; this ticket adds the assignment surface, not the enforcement. Acceptance: an owner invites a bookkeeper, the invitee's JWT carries the role, and the approvals decision bar is absent for them at both the UI and the API.",1,5,"product:finhive,auth,frontend,backend",Backlog
FinHive M4 · Multi-User Distribution,testing,Second-user onboarding and collision validation,Onboard one additional user and prove the system carries no data or workflow collisions: two orgs cannot see each other's loans; reference ID counters are per-org and do not interleave; two users editing the same loan produce a clean 409 rather than a silent overwrite; two pending proposals touching the same loan warn on approval; and the approval queue does not leak batches across orgs. This is the milestone-four exit gate. Acceptance: every collision scenario has a passing test and a written result.,1,8,"product:finhive,testing,security,multi-tenancy",Backlog
FinHive M4 · Multi-User Distribution,testing,Bot Readiness sweep before external exposure,"Run the e2e-testing skill's Persona C sweep — 67 checks across secret and PII exposure, unauthenticated crawl, the click-everything pass, accessibility, crawlability, hostile input and cost abuse — against the staging deployment before any external user is given access. Any S1 in secrets, unauthenticated access or prompt injection means NOT READY, with no exceptions. Acceptance: the report verdict is READY and every S2 is either fixed or explicitly accepted with a reason.",1,8,"product:finhive,testing,security,e2e",Backlog
FinHive M4 · Multi-User Distribution,observability,Instrument FastAPI with OpenTelemetry,"Add OTLP traces, metrics, and logs export to Grafana Cloud (Tempo, Prometheus, Loki). Propagate a correlation ID from the browser through the API to the agent loop. Acceptance: a single user request is traceable end to end including every ReAct step.",1,5,"product:finhive,observability,backend",Backlog
FinHive M4 · Multi-User Distribution,observability,Implement Amplitude event instrumentation,"Emit the event taxonomy from the metrics spec: loan_created, agent_turn_completed, agent_feedback, mutation_proposed, mutation_approved, mutation_rejected, report_generated, and spreadsheet_op_replaced. The last one is the North Star input and must be emitted from both form and agent paths. Acceptance: all events appear in Amplitude with correct properties and WSOR is computable.",1,5,"product:finhive,analytics,metrics",Backlog
FinHive M4 · Multi-User Distribution,observability,Build Grafana dashboards,"Create four dashboards: API Health (rate, p50/p95/p99 latency, errors by route, cold starts), Agent Health (turns per hour, steps per turn, tool failure and retry rates, p95 loop latency), Cost (spend by user and day, tokens by model, cost per completed task), and Data Quality (dbt pass rate, mart row counts, freshness). Acceptance: all four dashboards render live data.",2,5,"product:finhive,observability",Backlog
FinHive M4 · Multi-User Distribution,observability,Configure Grafana critical alerts,"Set alerts for API 5xx above 5 percent over 5 minutes, any agent unsafe tool call, cost anomaly above 3x the 7-day mean, any dbt contract test failure, and any cross-org read attempt in logs. Acceptance: each alert fires correctly against a synthetic trigger.",1,3,"product:finhive,observability,security",Backlog
FinHive M4 · Multi-User Distribution,observability,Enable Vercel Analytics,"Turn on Vercel Analytics for Core Web Vitals and page performance. Acceptance: LCP, INP, and CLS are reported for all routes.",3,1,"product:finhive,analytics,frontend",Backlog
FinHive M4 · Multi-User Distribution,docs,Define North Star metric instrumentation spec,"Document the exact Amplitude event schema for Weekly Spreadsheet Operations Replaced (WSOR) before any code is written. Specify the spreadsheet_op_replaced event with op_type and method properties, plus the L2 supporting metrics (Agent Task Completion Rate, Time to Insight p95, Proposal Approval Rate, Data Trust Score, Cost per Resolved Task) and the three counter-metrics. Acceptance: a metrics spec doc is merged and every downstream ticket references the events it must emit.",1,2,"product:finhive,metrics,foundation,docs",Backlog
FinHive M5 · Completion & Hardening,ci-cd,Wire dbt into GitHub Actions,Run dbt build on every PR touching models/ and nightly against production. Post results to the PR and export test outcomes to Grafana. dbt never runs inside a Vercel function. Acceptance: a failing contract test blocks the PR and appears on the data quality dashboard.,1,3,"product:finhive,data,dbt,ci",Backlog
FinHive M5 · Completion & Hardening,data,Build dbt project with staging models,Initialise the dbt project against Supabase Postgres. Build stg_loans and stg_payments with typing and normalisation. Acceptance: dbt build succeeds locally and in CI.,2,5,"product:finhive,data,dbt",Backlog
FinHive M5 · Completion & Hardening,data,Build dbt marts with enforced contracts,"Build dim_borrower, fct_loan_schedule (monthly, quarterly, yearly), fct_outstanding_balance, and agg_portfolio_summary with contract enforcement enabled so a type change fails the build. Acceptance: altering a column type in a mart without updating the contract fails dbt build.",1,8,"product:finhive,data,dbt,architecture",Backlog
FinHive M5 · Completion & Hardening,data,Add dbt test asserting MVP1 interest formula,"Add an expression_is_true test asserting interest_accrued equals principal times rate times periods divided by 1200 for monthly rows. This gives the core business rule a second independent enforcer at the data layer, so Python and warehouse logic cannot silently diverge. Acceptance: changing the Python calculator without updating dbt fails CI, and vice versa.",1,3,"product:finhive,data,dbt,testing",Backlog
FinHive M5 · Completion & Hardening,data,Add is_due_soon to the portfolio mart,"Extend the dbt mart with the is_due_soon derived field and its configurable day window, contract-enforced like every other mart column. The dashboard and the loans table both read it so a due-soon count cannot disagree between screens. Acceptance: dbt contract enforcement covers the new column and both surfaces reconcile.",2,3,"product:finhive,data,dbt",Backlog
FinHive M5 · Completion & Hardening,data,Implement retention tiering for audit tables,"ARB decision OQ-02 sets 7-year retention for proposed_mutations, agent_turns, reports and report_records. Postgres is the wrong home for year six: proposed_mutations holds full before_state and after_state JSONB per record per batch and is the fastest-growing table in the system. Implement tiering — hot in Postgres for 0-12 months, cold as compressed JSONL in Blob partitioned by month for 12 months to 7 years. Keeps the approvals queue fast in year five. Acceptance: a scheduled job moves aged rows to cold storage and the hot table stays bounded.",1,8,"product:finhive,data,infra,retention",Backlog
